"Unit","Group Name/Partner","Date and Time","Borough","LocationType","Location","Event Name","Event Type","Category","Classification","Attendance","Audience","Source"
"Urban Park Rangers","Urban Park Rangers","10/12/2019 11:00:00 AM","Queens","Adventure Course","Alley Pond Adventure Course","PEP Family and Friends","Agency Produced Event","Nature",,"75","Children;#Young Adult;#Adults;#Teens;#Tot","Sharepoint"
"Urban Park Rangers","Greenbelt Conservancy","11/20/2019 06:00:00 PM","Staten Island","Nature Center","Greenbelt Nature Center","Family Science Night","Local Event","Nature",,"30","General Public","Sharepoint"
"Urban Park Rangers","Greenbelt Nature Center","12/19/2019 06:00:00 PM","Staten Island","Nature Center","Greenbelt Nature Center","Family science night","Community Based Event","Academic/Out of School time",,"9","Children;#Adults;#Teens","Sharepoint"
"Urban Park Rangers","Greenbelt","01/15/2020 06:00:00 PM","Staten Island","Nature Center","Greenbelt Nature Center","Family Science Night","Agency Produced Event","Academic/Out of School time",,"30","Children;#Adults;#Teens","Sharepoint"
"Urban Park Rangers","Greenbelt Nature Center","01/19/2020 11:00:00 AM","Staten Island","Nature Center","Greenbelt Nature Center","Winter Wilderness Skills","Local Event","Nature",,"62","Children;#Young Adult;#Adults;#Teens","Sharepoint"
"Urban Park Rangers","Greenbelt Conservancy","02/19/2020 06:00:00 PM","Staten Island","Nature Center","Greenbelt Nature Center","Family Science Night","Community Based Event","Academic/Out of School time",,"30","Children;#Young Adult;#Teens;#Adults;#General Public","Sharepoint"
"Urban Park Rangers","Mappy Hour NYC","08/19/2020 07:00:00 PM","Manhattan","Park","Payson Park House","Virtual Mappy Hour with Ranger Dan","Community Based Event","Nature","Summer 2020","47","Adults;#Young Adult;#General Public","Sharepoint"
"Urban Park Rangers","General Public","08/25/2020 11:00:00 AM","Manhattan","Park","Payson Park House","Belvedere (the Tortoise) on the Rocks!","Community Based Event","Nature","Summer 2020","12","General Public","Sharepoint"
"Urban Park Rangers","General Public","09/16/2020 02:00:00 PM","Staten Island","Nature Center","Greenbelt Nature Center","Hiking is a Walk in the Park","Community Based Event","Nature","Summer 2020","3","General Public","Sharepoint"
"Urban Park Rangers","General Public","09/28/2020 10:30:00 AM","Manhattan","Nature Center","Inwood Hill Nature Center","Wigwam & Garden Open House","Community Based Event","Nature","Summer 2020","2","General Public","Sharepoint"
"Recreation",,"08/29/2018 07:30:00 PM","Bronx","Nature Center","Van Cortlandt Nature Center","Movies Under The Star's: A Wrinkle In Time","Community Based Event","Family Festival","Lecture/Panel/Talk","21","General Public","Sharepoint"
"Urban Park Rangers","Fort Greene Conservancy","04/13/2019 11:00:00 AM","Brooklyn","Nature Center","Fort Greene Visitor Center","Fort Greene Easter Egg Hunt","Local Event","Family Festival","Play","383","Adults","Sharepoint"
"Urban Park Rangers","National Parks Service","04/20/2019 10:00:00 AM","Queens","Nature Center","Jamaica Bay Wildlife Refuge","Junior Ranger Day","Agency Produced Event","Family Festival","Play","31","Children","Sharepoint"
"Recreation","Councilman Justin Branan, Sound Off","06/14/2019 07:00:00 PM","Brooklyn","Other","American Veterans Memorial Pier","Silent Disco","Community Based Event","Arts/Culture","Music","600","General Public","Sharepoint"
"Recreation",,"06/15/2018 08:30:00 PM","Staten Island","Other","Midland Field","Movies Under the Stars: Transformers: The Last Knight","Community Based Event","Mobile Unit","Movies","50","General Public","Sharepoint"
"Recreation","Sound Off, Councilman Justin Branan","06/29/2019 07:00:00 PM","Brooklyn","Other","American Veterans Memorial Pier","Silent Disco","Community Based Event","Arts/Culture","Music","650","General Public","Sharepoint"
"Recreation",,"06/22/2018 08:30:00 PM","Queens","Other","Rory Staunton Field","MUTS "" Paddington ""","Community Based Event","Mobile Unit","Movies","119","General Public","Sharepoint"
"Urban Park Rangers","Wildlife NYC","07/06/2019 12:00:00 PM","Queens","Other","Rockaway Beach and Boardwalk","Plover Day","Agency Produced Event","Nature",,"73","General Public","Sharepoint"
"Recreation","NYPD","07/12/2019 11:00:00 AM","Queens","Other","167-02 Baisley Blvd/Bedell Street","Cops and Kids Day","Community Based Event","Mobile Unit","Play","160","General Public","Sharepoint"
"Urban Park Rangers","Green Thumb","07/20/2019 10:00:00 AM","Brooklyn","Other","Herbal Garden of East New York","Opening Garden Day","Community Based Event","Nature",,"0","General Public","Sharepoint"
"Recreation","Rockaway Administator","07/14/2019 08:45:00 PM","Queens","Other","Beach 94 Plaza","Mary Poppins Returns","Community Based Event","Mobile Unit","M.U.T.S","200","General Public","Sharepoint"
"Recreation",,"07/27/2019 08:00:00 AM","Staten Island","Other","Franklin D. Roosevelt Boardwalk and Beach","Beach Soccer Tournament","Tournament/Competition","Sport","Tier 2","1,000","General Public","Sharepoint"
"Recreation",,"07/28/2019 08:00:00 AM","Staten Island","Other","Franklin D. Roosevelt Boardwalk and Beach","Beach Soccer Tournament","Tournament/Competition","Sport","Tier 2","1,000","General Public","Sharepoint"
"Recreation",,"07/28/2019 10:00:00 AM","Staten Island","Other","Franklin D. Roosevelt Boardwalk and Beach","Food Truck Festival","Community Based Event","Family Festival",,"200","General Public","Sharepoint"
"Recreation",,"07/27/2019 10:00:00 AM","Staten Island","Other","Franklin D. Roosevelt Boardwalk and Beach","Food Truck Festival","Community Based Event","Family Festival",,"200","General Public","Sharepoint"
"Recreation",,"06/14/2019 10:30:00 AM","Manhattan","Other","123rd St. & Morningside Ave.","Play Mobile","Community Based Event","Mobile Unit","Play","150","Tot;#Children;#Teens","Sharepoint"
"Recreation",,"05/26/2019 11:00:00 AM","Bronx","Other","Castle Hill YMCA","Hispanic Grand Council Picnic","Local Event","Mobile Unit","Play","10","General Public","Sharepoint"
"Recreation","Harlem Mothers S.A.V.E","07/24/2019 10:00:00 AM","Manhattan","Playground","Fred Samuel Playground","Annual 128th Street Play Street","Community Based Event","Mobile Unit","Play","30","Children","Sharepoint"
"Recreation","Harlem One Stop","06/23/2019 12:00:00 PM","Manhattan","Other","139th St. & Amsterdam Ave.","Play Mobile","Community Based Event","Mobile Unit","Play","600","Tot;#Children;#Adults","Sharepoint"
"Recreation","NYPD","06/22/2019 12:00:00 PM","Manhattan","Other","W. 126th St. & 1st Ave.","Play Mobile","Community Based Event","Mobile Unit","Play","500","Teens;#Children;#Tot","Sharepoint"
"Recreation","Harlem One Stop","07/27/2019 12:00:00 PM","Manhattan","Other","139th and Amsterdam Avenue","Hamiton Heights Weekend Walks","Community Based Event","Mobile Unit","Play","200","Children","Sharepoint"
"Recreation","NYPD","06/15/2019 11:00:00 AM","Manhattan","Other","130 Avenue C bet. 9th & 10th Ave.","Play Mobile","Community Based Event","Mobile Unit","Play","400","Children;#Tot;#Teens","Sharepoint"
"Recreation","Village Alliance District Management Association","06/08/2019 12:00:00 PM","Manhattan","Other","W. 8th St. & 6th Ave.","Play Mobile","Community Based Event","Mobile Unit","Play","500","Children;#Tot;#Teens","Sharepoint"
"Recreation","The Points Team Youth Program","06/09/2019 10:00:00 AM","Manhattan","School","Harriet Tubman School Yard","Play Mobile","Community Based Event","Mobile Unit","Play","50","Teens;#Children;#Tot","Sharepoint"
"Recreation",,"06/29/2019 11:00:00 AM","Bronx","Other","4750 White Plains Road","Street Fair Extravaganza","Local Event","Mobile Unit","Play","30","General Public","Sharepoint"
"Recreation",,"06/27/2019 01:00:00 PM","Bronx","Other","Edenwald Community Center","Fatherhood Resource Day","Community Based Event","Mobile Unit","Play","50","General Public","Sharepoint"
"Recreation",,"07/20/2019 12:00:00 PM","Bronx","Other","160th Street betwn Melrose and Elton Aves.","We Are Melrose","Community Based Event","Mobile Unit","Play","15","General Public","Sharepoint"
"Recreation",,"07/06/2019 12:00:00 PM","Bronx","Other","1317 Fulton Avenue Bronx New York","Bringing the Peace","Community Based Event","Mobile Unit","Play","45","General Public","Sharepoint"
"Recreation",,"07/27/2019 11:30:00 AM","Bronx","Other","771 Fairmount Place","Outreach Day and Health and Wellness Fair","Community Based Event","Mobile Unit","Play","35","General Public","Sharepoint"
"Recreation",,"03/16/2018 12:00:00 AM","Staten Island","Other","P.S 18","She's On Point","Community Based Event","Fitness",,"55","Children;#Teens","Sharepoint"
"Recreation",,"08/02/2019 01:00:00 PM","Bronx","Other","535 East 141st Street","Dream Big Bronx Youth Fair","Community Based Event","Mobile Unit","Play","300","Tot;#Children;#Young Adult","Sharepoint"
"Recreation",,"08/03/2019 12:00:00 PM","Bronx","Other","Aqueduct Walk","Commissioner's Programming","Agency Produced Event","Mobile Unit","Play","20","Tot;#Children;#Teens","Sharepoint"
"Recreation","Harlem Mothers S.A.V.E","07/31/2019 02:00:00 PM","Manhattan","Other","306A West 2128th Street","Annual 128th Street Play Street","Community Based Event","Mobile Unit","Play","3","Children","Sharepoint"
"Recreation","Council Member Diana Ayala","07/30/2019 01:00:00 PM","Manhattan","Other","106th Street Bet. 3rd Avenue and Lexington Avenue","East Harlem Youth Fair","Community Based Event","Mobile Unit","Play","500","Children","Sharepoint"
"Recreation","NYPD","08/07/2019 04:00:00 PM","Queens","Other","Forest Hills Jewish Center","NYPD Night out","Community Based Event","Mobile Unit","Play","100","General Public","Sharepoint"
"Recreation",,"07/19/2019 12:00:00 AM","Brooklyn","Other","Red Hook Recreation Area","Spider-Man: Into the Spider-Verse(2018)","Community Based Event","Mobile Unit","M.U.T.S","123","General Public","Sharepoint"
"Recreation",,"08/07/2019 11:00:00 AM","Queens","Other","Queens Hospital Center","Family Fun Day","Community Based Event","Mobile Unit","Play","54","General Public","Sharepoint"
"Recreation",,"08/06/2019 02:30:00 PM","Bronx","Other","Brook Avenue, between 137th St & 138th St","National Night Out","Community Based Event","Mobile Unit","Play","150","General Public","Sharepoint"
"Recreation",,"08/08/2019 10:00:00 AM","Bronx","Other","200 West Tremont Avenue","Fitness Challenge","Community Based Event","Mobile Unit","Play","20","Seniors","Sharepoint"
