date,year,month,day,time,season,time_period,borough,location_type,event_type,category,attendance,kids_friendly,senior_friendly,adults_only
2021-06-12,2021,Jun,12,00:00:00,Summer,Midnight,Bronx,Other,Community Based Event,Mobile Unit,65,TRUE,TRUE,FALSE
2021-06-17,2021,Jun,17,15:00:00,Summer,Afternoon,Bronx,Other,Community Based Event,Mobile Unit,45,TRUE,TRUE,FALSE
2021-06-24,2021,Jun,24,13:00:00,Summer,Afternoon,Bronx,Other,Community Based Event,Mobile Unit,126,TRUE,TRUE,FALSE
2021-06-26,2021,Jun,26,20:00:00,Summer,Night,Manhattan,Other,Community Based Event,Mobile Unit,100,TRUE,TRUE,FALSE
2021-06-11,2021,Jun,11,20:00:00,Summer,Night,Manhattan,Other,Community Based Event,Mobile Unit,188,TRUE,TRUE,FALSE
2021-07-17,2021,Jul,17,20:00:00,Summer,Night,Queens,Other,Community Based Event,Mobile Unit,0,TRUE,TRUE,FALSE
2021-07-29,2021,Jul,29,21:00:00,Summer,Night,Bronx,Other,Community Based Event,Mobile Unit,0,TRUE,FALSE,FALSE
2021-07-29,2021,Jul,29,21:00:00,Summer,Night,Manhattan,Other,Community Based Event,Mobile Unit,125,TRUE,TRUE,FALSE
2021-07-30,2021,Jul,30,00:00:00,Summer,Midnight,Staten Island,Other,Community Based Event,Mobile Unit,25,TRUE,TRUE,FALSE
2021-08-03,2021,Aug,3,13:00:00,Summer,Afternoon,Bronx,Other,Community Based Event,Mobile Unit,170,TRUE,TRUE,FALSE
2021-08-03,2021,Aug,3,14:00:00,Summer,Afternoon,Bronx,Other,Community Based Event,Arts/Culture,300,TRUE,TRUE,FALSE
2021-08-07,2021,Aug,7,11:00:00,Summer,Morning,Bronx,Other,Community Based Event,Mobile Unit,40,TRUE,TRUE,FALSE
2021-08-06,2021,Aug,6,21:00:00,Summer,Night,Manhattan,Other,Community Based Event,Mobile Unit,75,TRUE,TRUE,FALSE
2021-08-17,2021,Aug,17,21:00:00,Summer,Night,Bronx,Other,Community Based Event,Mobile Unit,160,TRUE,FALSE,FALSE
2021-08-21,2021,Aug,21,12:00:00,Summer,Afternoon,Bronx,Other,Community Based Event,Mobile Unit,55,TRUE,TRUE,FALSE
2021-08-20,2021,Aug,20,20:30:00,Summer,Night,Bronx,Other,Community Based Event,Mobile Unit,350,TRUE,FALSE,FALSE
2021-08-24,2021,Aug,24,15:00:00,Summer,Afternoon,Bronx,Other,Community Based Event,Mobile Unit,60,TRUE,TRUE,FALSE
2021-08-25,2021,Aug,25,12:00:00,Summer,Afternoon,Bronx,Other,Community Based Event,Mobile Unit,85,TRUE,TRUE,FALSE
2021-08-25,2021,Aug,25,11:00:00,Summer,Morning,Queens,Other,Community Based Event,Mobile Unit,11,TRUE,TRUE,FALSE
2021-08-28,2021,Aug,28,11:00:00,Summer,Morning,Bronx,Other,Community Based Event,Mobile Unit,65,TRUE,TRUE,FALSE
2021-09-03,2021,Sep,3,13:00:00,Fall,Afternoon,Bronx,Other,Community Based Event,Mobile Unit,108,TRUE,TRUE,FALSE
2021-08-27,2021,Aug,27,20:00:00,Summer,Night,Bronx,Other,Community Based Event,Mobile Unit,0,TRUE,FALSE,FALSE
2021-09-11,2021,Sep,11,20:00:00,Fall,Night,Staten Island,Other,Community Based Event,Mobile Unit,15,TRUE,TRUE,FALSE
2021-09-18,2021,Sep,18,11:00:00,Fall,Morning,Manhattan,Other,Community Based Event,Nature,150,TRUE,TRUE,FALSE
2021-09-17,2021,Sep,17,19:00:00,Fall,Night,Queens,Other,Community Based Event,Mobile Unit,95,TRUE,TRUE,FALSE
2021-09-24,2021,Sep,24,15:00:00,Fall,Afternoon,Queens,Other,Community Based Event,Mobile Unit,35,TRUE,TRUE,FALSE
2021-09-25,2021,Sep,25,10:00:00,Fall,Morning,Queens,Other,Community Based Event,Mobile Unit,0,TRUE,TRUE,FALSE
2021-09-25,2021,Sep,25,19:00:00,Fall,Night,Queens,Other,Community Based Event,Mobile Unit,55,TRUE,TRUE,FALSE
2021-08-10,2021,Aug,10,10:00:00,Summer,Morning,Queens,Park,Community Based Event,Mobile Unit,0,TRUE,TRUE,FALSE
2021-09-01,2021,Sep,1,10:00:00,Fall,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,0,TRUE,FALSE,FALSE
2021-06-02,2021,Jun,2,11:00:00,Summer,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,19,TRUE,FALSE,FALSE
2021-06-04,2021,Jun,4,11:00:00,Summer,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,12,FALSE,FALSE,TRUE
2021-06-02,2021,Jun,2,03:00:00,Summer,Midnight,Bronx,Park,Agency Produced Event,Arts/Culture,16,TRUE,TRUE,FALSE
2021-06-09,2021,Jun,9,13:00:00,Summer,Afternoon,Bronx,Park,Agency Produced Event,Arts/Culture,90,TRUE,TRUE,FALSE
2021-06-09,2021,Jun,9,11:00:00,Summer,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,12,TRUE,FALSE,FALSE
2021-06-05,2021,Jun,5,13:30:00,Summer,Afternoon,Bronx,Park,Agency Produced Event,Arts/Culture,12,TRUE,TRUE,FALSE
2021-06-09,2021,Jun,9,15:00:00,Summer,Afternoon,Bronx,Park,Agency Produced Event,Arts/Culture,0,TRUE,TRUE,FALSE
2021-06-11,2021,Jun,11,11:00:00,Summer,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,14,FALSE,FALSE,TRUE
2021-06-16,2021,Jun,16,11:00:00,Summer,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,16,TRUE,FALSE,FALSE
2021-06-16,2021,Jun,16,13:00:00,Summer,Afternoon,Bronx,Park,Agency Produced Event,Arts/Culture,19,TRUE,TRUE,FALSE
2021-06-18,2021,Jun,18,11:00:00,Summer,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,0,FALSE,FALSE,TRUE
2021-06-16,2021,Jun,16,15:00:00,Summer,Afternoon,Bronx,Park,Agency Produced Event,Arts/Culture,34,TRUE,TRUE,FALSE
2021-06-12,2021,Jun,12,21:00:00,Summer,Night,Bronx,Park,Community Based Event,Mobile Unit,340,FALSE,FALSE,TRUE
2021-06-17,2021,Jun,17,20:00:00,Summer,Night,Manhattan,Park,Community Based Event,Mobile Unit,125,TRUE,TRUE,FALSE
2021-06-18,2021,Jun,18,20:00:00,Summer,Night,Manhattan,Park,Community Based Event,Mobile Unit,60,TRUE,TRUE,FALSE
2021-06-19,2021,Jun,19,15:00:00,Summer,Afternoon,Bronx,Park,Agency Produced Event,Arts/Culture,27,TRUE,TRUE,FALSE
2021-06-23,2021,Jun,23,11:00:00,Summer,Morning,Bronx,Park,Agency Produced Event,Arts/Culture,11,TRUE,FALSE,FALSE
